,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
38,0.96533522,-13.7867875,62.71924025,11.22089411,0.74,-11.28003125,-8.347223125000001,10.83840297,263.08644912,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Forward,Light
39,0.96335837,-13.66691875,59.43956258000001,10.52009191,0.66,-11.85741875,-7.825896375000001,13.13152963,719.98174332,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Reverse,Light
40,1.00405171,-14.7670125,66.19775124,13.19402793,0.78,-12.58338125,-9.815037375000001,7.77820166,331.77095924,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Forward,Light
41,1.00246911,-14.6921,62.59200063,12.39250639,0.72,-12.80386875,-9.2187855,8.17175685,918.35250668,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Reverse,Light
42,0.96761824,-13.39374375,64.62694122,11.25913631,0.74,-11.318475,-8.3756715,10.29124877,361.17025953,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,f,Forward,Light
43,0.95062836,-13.3955125,61.48808541999999,10.52559148,0.68,-11.5146875,-7.829987500000001,15.94475541,795.73414702,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,f,Reverse,Light
44,0.99459412,-13.937925,70.67121586,13.16958277,0.82,-11.94738125,-9.796852625,6.95190779,559.85782558,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS334.JV_JS334-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Forward,Light
45,1.00415078,-14.052525,69.34962038,13.15475686,0.82,-11.93393125,-9.785823624999999,6.25111959,849.58019041,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS334.JV_JS334-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Reverse,Light
46,0.99170358,-14.621975,63.636926790000004,12.40459403,0.76,-12.1418125,-9.2277775,8.16098772,265.37715981,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS334.JV_JS334-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Forward,Light
47,0.99953479,-14.45178125,61.40701156,11.92402003,0.72,-12.31983125,-8.8702785,8.49804142,725.39416463,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS334.JV_JS334-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,d,Reverse,Light
48,0.52868262,-13.5671125,24.69245847,2.38085109,0.26,-6.81198125,-1.771115125,42.34957003,35.37136089,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS308.JV_JS308-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Forward,Light
49,0.74218333,-14.48594375,30.24815638,4.37161934,0.46,-7.06966875,-3.2520476250000003,25.82938561,57.59659972,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS308.JV_JS308-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,e,Reverse,Light
