,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
56,1.065007,-21.690731,80.805984,18.666816,0.9,-20.740906,-18.6668154,0.003848,9.664754,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
57,1.064055,-21.68555,79.458015,18.334631,0.9,-20.371813,-18.3346317,0.003936,9.681811,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
58,1.064064,-21.523206,80.495131,18.435049,0.9,-20.483387,-18.435048300000002,0.003677,20.102607,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
59,1.063111,-21.5238,78.864024,18.045821,0.9,-20.050912,-18.0458208,0.003778,6.349206,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
60,1.064058,-21.688531,80.402097,18.555075,0.9,-20.61675,-18.555075,0.003865,9.183088,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
61,1.063317,-21.689481,78.850036,18.185029,0.9,-20.205588,-18.1850292,0.00395,16.770024,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-6.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
62,1.065604,-22.200456,80.341797,19.006369,0.9,-21.118188,-19.0063692,0.003683,14.842301,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
63,1.064352,-22.191569,78.827513,18.618767,0.9,-20.687519,-18.618767100000003,0.003759,8.838965,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
64,1.064938,-21.397725,78.902709,17.979761,0.92,-19.543219,-17.97976148,0.003798,1.401,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
65,1.063662,-21.387956,77.065354,17.532034,0.9,-19.480037,-17.5320333,0.003915,1.448434,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
66,1.065954,-21.341519,80.852746,18.393261,0.92,-19.992675,-18.393261,0.003554,5.583018,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
67,1.064899,-21.336744,79.458209,18.054079,0.9,-20.060087,-18.0540783,0.003637,12.208304,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
68,1.065104,-20.516125,79.394512,17.34913,0.92,-18.85775,-17.34913,0.00366,2.374445,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
69,1.063913,-20.494387,77.899388,16.985379,0.9,-18.872644,-16.9853796,0.003752,2.968644,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-7.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
70,1.061337,-21.296869,80.73793,18.249311,0.9,-20.277012,-18.2493108,0.003747,-590.769231,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
71,1.060686,-21.321806,79.171417,17.905202,0.9,-19.894669,-17.9052021,0.003826,10.357104,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
72,1.059633,-21.043337,80.092321,17.859161,0.9,-19.843512,-17.8591608,0.004416,34.947215,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
73,1.059078,-21.033094,78.628327,17.515001,0.9,-19.461113,-17.515001700000003,0.004513,13.435969,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
74,1.061961,-21.045762,80.444162,17.979086,0.9,-19.976762,-17.9790858,0.003832,17.642194,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
75,1.061186,-21.042675,78.745902,17.58411,0.9,-19.5379,-17.584110000000003,0.003934,29.827559,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-8.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
76,1.041037,-20.211931,65.271588,13.734031,0.82,-16.748819,-13.73403158,0.005346,1.223343,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
77,1.031412,-20.216106,62.216234,12.972785,0.78,-16.631775,-12.972784500000001,0.006395,1.156139,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
78,1.066124,-20.997825,80.556914,18.033696,0.92,-19.601844,-18.03369648,0.003601,3.99875,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
79,1.064372,-20.992869,78.866522,17.622107,0.9,-19.580119,-17.6221071,0.003681,3.439874,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
80,1.06511,-20.145656,80.24270900000002,17.217956,0.9,-19.131063,-17.217956700000002,0.003998,3.732504,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
81,1.063851,-20.142837,78.535697,16.829398,0.9,-18.699331,-16.8293979,0.004096,13.15519,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
82,1.060095,-20.777113,73.912394,16.279734,0.9,-18.088594,-16.2797346,0.003888,1.497263,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
83,1.058659,-20.768744,71.961251,15.822135,0.9,-17.58015,-15.822135,0.004528,1.159756,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
84,1.062043,-19.045388,77.921323,15.76116,0.9,-17.5124,-15.76116,0.004146,3.761534,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
85,1.061093,-19.042525,76.313688,15.419858,0.9,-17.133175,-15.4198575,0.004255,4.143915,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
86,1.061839,-20.185375,79.710575,17.084857,0.9,-18.983175,-17.0848575,0.003937,9.618757,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
